Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Парикмахер-универсал,60000— 200000 руб.,"['диплом об окончании курсов парикмахеров', 'Работа с накладными волосами']","['Вакансия недели', 'Быстрый отклик']",Шевченко Татьяна Анатольевна,"['Петровский парк,', 'Петровский парк']","Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",Москва,Работа в сфере красоты,Парикмахер,опыт работы от 3 лет,образование любое,https://www.rabota.ru/vacancy/54255960/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Ведущий научный сотрудник,от 150000 руб.,"['MS Office', 'MS Office  Excel', 'MS Office Word', 'бюджетирование', 'ведение деловой переписки', 'составление отчетов', 'анализ рынка', 'составление отчетности', 'планирование работ', 'управление проектами', 'написание статей', 'Статистика', 'Выполнение научно-исследовательской работы', 'Формирование отчетов о проделанной работы']",[],ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Бутырская'],"Бутырская,г Москва, ул Добролюбова, д 11",Москва,Работа в сфере образования,Научный сотрудник,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/54244351/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер на доставку сантехники,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54238467/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер на личном авто,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54238448/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Медицинский писатель (Координационный центр федерального проекта),по договоренности,"['коммуникабельность', 'ведение переговоров', 'MS Office Word', 'английский язык']",[],ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Гражданская'],"Гражданская,г Москва, ул Вучетича, д 12",Москва,Работа в сфере культуры,Писатель,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/54223769/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер по доставке продуктов,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54219184/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Маляр на кузнечное производство,80000— 90000 руб.,"['малярные работы', 'покраска']",[],"ООО ""СГ""",['Бутырская'],"Бутырская,г Москва, Огородный проезд, д 9",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53919291/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-экспедитор категории C,120000— 140000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,опыт работы от 1 года,образование среднее профессиональное,https://www.rabota.ru/vacancy/53745521/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер с личным автомобилем,261900— 371000 руб.,"['ответственность', 'пунктуальность', 'доставка документов', 'доставка товаров', 'доставка заказов']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Парк7778,[],г Москва,Москва,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/50258792/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-экспедитор категории В,90000— 150000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,опыт работы от 3 лет,образование среднее профессиональное,https://www.rabota.ru/vacancy/49683003/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Главный инженер,80000— 100000 руб.,"['работа с технической документацией', 'техника безопасности', 'ведение объектов', 'противопожарная безопасность', 'технадзор', 'работа с подрядными организациями', 'контроль качества выполнения работ', 'эксплуатация инженерных систем']","['Вакансия недели', 'Пенсионерам']",Государственное бюджетное учреждение культуры города Москвы &amp;quot;Московский детский театр теней&amp;quot;,['Первомайская'],"Первомайская,г Москва, Измайловский б-р, д 60/10",Москва,Работа на производстве,,опыт работы от 5 лет,образование высшее,https://www.rabota.ru/vacancy/49350180/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Повар-универсал,100000— 120000 руб.,[],[],ООО Мишлена,['Верхние котлы'],"Верхние котлы,г Москва, метро Верхние Котлы",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/36843243/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Инженер-бактериолог,87000 руб.,"['ответственность', 'контроль качества', 'лабораторные работы', 'проведение лабораторных исследований', 'приготовление питательных сред']",[],"АО ""Меридиан""",['Ховрино'],"Ховрино,г Москва, ул Ижорская, д 7",Москва,,,от 1 года,высшее,https://www.rabota.ru/vacancy/54239740/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Кладовщик-грузчик,90000— 120000 руб.,"['распределение товара', 'комплектация товара']",[],"РАВТ, ООО",['Саларьево'],"Саларьево,г Москва, р-н Коммунарка, ул Адмирала Корнилова, д 61",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/52529658/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Старший смены на пищевое производство,70000 руб.,['ответственность'],['Быстрый отклик'],"АО ""Меридиан""",['Ховрино'],"Ховрино,г Москва, ул Ижорская, д 7",Москва,,,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/54239757/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Бухгалтер,110000— 120000 руб.,[],"['Вакансия недели', 'Быстрый отклик']","ООО ""Калитера""","['Белорусская,', 'Белорусская,', 'Белорусская']","Белорусская, Белорусская, Белорусская,г Москва, Ленинградский пр-кт, д 7 стр 1",Москва,Работа в бухгалтерии,,опыт работы от 3 лет,образование высшее,https://www.rabota.ru/vacancy/54253992/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Главный бухгалтер,110000— 130000 руб.,"['налоговый учет', 'сдача отчетности', 'расчет заработной платы', 'УСНО', 'ОСНО', 'ведение всех участков', 'ведение книги покупок, книги продаж', 'ведение нескольких юридических лиц']",[],"ООО ""Новые Горизонты""","['Чкаловская,', 'Курская,', 'Курская']","Чкаловская, Курская, Курская,г Москва, ул Нижняя Сыромятническая, д 11 стр 52",Москва,,,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/54245905/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Охранник-контролер,от 90000 руб.,"['охрана объектов', 'видеонаблюдение', 'предотвращение хищений', 'охрана имущества']","['Вакансия недели', 'Пенсионерам', 'Студентам']","ООО ЧОО ""СБ Секьюрити""""",['Улица 1905 года'],"Улица 1905 года,г Москва",Москва,Работа в сфере безопасности,Охранник,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/54233665/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель такси,120000— 150000 руб.,"['стаж вождения от 3 лет', 'перевозка пассажиров', 'спокойный стиль вождения']",[],Unicum,['Отрадное'],"Отрадное,г Москва, ул Декабристов, д 27",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/48165167/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-экспедитор с личным автомобилем,от 100000 руб.,"['хорошее знание Москвы', 'правила дорожного движения', 'перевозка грузов', 'работа с сопроводительной документацией', 'экспедирование', 'спокойный стиль вождения', 'транспортная логистика']",['Вакансия недели'],"Бриго, ООО","['Щелковская,', 'Бульвар Рокоссовского,', 'Черкизовская,', 'Локомотив,', 'Бульвар Рокоссовского']","Щелковская, Бульвар Рокоссовского, Черкизовская, Локомотив, Бульвар Рокоссовского,г Москва, ул Монтажная, д 3 стр 1",Москва,Экспедитор,Водитель-экспедитор,опыт работы от 3 лет,образование среднее профессиональное,https://www.rabota.ru/vacancy/32286416/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Машинист по стирке одежды,от 49000 руб.,[],"['Быстрый отклик', 'Пенсионерам']","АО ""Меридиан""","['Ховрино,', 'Ховрино']","Ховрино, Ховрино,г Москва, ул Ижорская, д 7 стр 3",Москва,Работа на производстве,Машинист производства,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/54240032/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Охранник (Москва),90000— 150000 руб.,['охрана объектов'],['Вакансия недели'],ООО Частное охранное предприятие ПРОФИ-Безопасность,['Выхино'],"Выхино,г Москва",Москва,Работа в сфере безопасности,Охранник,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/50270662/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Работник кухни (Академика Опарина 4к1),74000— 81400 руб.,"['обучаемость', 'обучение персонала', 'Работа в команде']",['Вакансия недели'],Самокат,['Беляево'],"Беляево,г Москва, ул Академика Опарина, д 4 к 1",Москва,,,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/54210839/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Курьер/велокурьер (Самокат),110000— 210000 руб.,"['ответственность', 'доброжелательность', 'вежливость', 'доставка товаров', 'доставка заказов', 'курьер', 'Вежливый']",[],Альфа персонал,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54250930/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Кладовщик,от 70000 руб.,"['погрузочно-разгрузочные работы', 'прием товара', 'сбор заказов', 'упаковка товара', 'участие в проведение инвентаризаций', 'Водитель-экспедитор']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']",Comfer,['Бутырская'],"Бутырская,г Москва, Огородный проезд",Москва,Работа на складах,Кладовщик,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/48027959/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Официант (Официантка),180000— 240000 руб.,"['умение работать в команде', 'доброжелательность', 'вежливость', 'общение с клиентами', 'прием заказов', 'обслуживание гостей', 'консультирование гостей', 'сервировка стола', 'дружелюбность', 'обслуживание банкетов', 'подача блюд и напитков согласно установленным правилам обслуживания', 'поддержание чистоты в зале']",[],"ООО ""Верест""","['Китай-город,', 'Китай-город']","Китай-город, Китай-город,г Москва, метро Китай-город (Калужско-Рижская)",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54253219/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Директор магазина (Кубинка 15к2),103600— 134680 руб.,"['ответственность', 'управление персоналом', 'обучение персонала']",['Вакансия недели'],Самокат,['Сетунь'],"Сетунь,г Москва, ул Кубинка, д 15 к 2",Москва,Заведующий,Директор магазина,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/54252897/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Комплектовщик-упаковщик (вахта),139500— 224800 руб.,"['ответственность', 'стрессоустойчивость', 'обучаемость', 'работа склада', 'комплектация товара', 'сбор заказов', 'упаковка товара', 'сортировка продукции', 'укладка готовой продукции', 'работа с тсд', 'Я хочу работать']",[],Pro Выбор,"['Комсомольская,', 'Комсомольская']","Комсомольская, Комсомольская,г Москва, метро Комсомольская (Сокольническая)",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54251168/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Охранник (вахта),118000— 120000 руб.,"['охрана объектов', 'видеонаблюдение', 'охрана имущества', 'обеспечение контрольно-пропускного режима', 'Консьерж']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']","ООО ""ЧОП ""Москва""","['Проспект Вернадского,', 'Тропарево']","Проспект Вернадского, Тропарево,г Москва, пр-кт Вернадского, д 94",Москва,Работа в сфере безопасности,Охранник,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/53395216/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор на ресепшн,130000— 138000 руб.,"['пунктуальность', 'обучаемость', 'вежливость', 'общение с клиентами', 'встреча гостей']","['Вакансия недели', 'Студентам']",ООО Бельведер,['Калужская'],"Калужская,г Москва, Научный проезд, д 14А стр 3, помещ 5/А",Москва,Администратор,Администратор пункта выдачи заказов,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/53119483/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Уборщик/Уборщица,до 70000 руб.,['уборка офиса'],"['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']","Фасилити Солюшенс, ООО","['Калужская,', 'Воронцовская,', 'Зюзино']","Калужская, Воронцовская, Зюзино,г Москва, Научный проезд, д 17",Москва,Работа в сфере бытовых услуг,Уборщица,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/34126047/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Столяр-мебельщик,110000— 150000 руб.,"['ответственность', 'сборка мебели', 'шлифовка', 'работа на станках', 'производство мебели', 'деревообработка', 'сборка корпусной мебели', 'столярные работы', 'изготовление столярных изделий', 'работа ручным инструментом', 'работа с МДФ', 'сборка мебели по индивидуальным проектам', 'работа с электроинструментом', 'распил', 'Обучение и развитие']","['Вакансия недели', 'Быстрый отклик', 'Студентам']",House cult,[],"г Москва, р-н Вороново, деревня Бабенки",Москва,Работа на производстве,Мебельщик,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/54249411/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Охранник,60000— 150000 руб.,[],['Вакансия недели'],"ЧОП ""Рубикон""","['Курская,', 'Курская,', 'Чкаловская']","Курская, Курская, Чкаловская,г Москва, ул Земляной Вал, д 33",Москва,Работа в сфере безопасности,Охранник,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/48899987/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель категории С,130000— 160000 руб.,[],"['Вакансия недели', 'Быстрый отклик']","Евразия Карго Экспресс, ООО","['Выхино,', 'Кузьминки,', 'Марьино,', 'Братиславская,', 'Люблино,', 'Волжская,', 'Борисово,', 'Алма-Атинская,', 'Лермонтовский проспект,', 'Жулебино,', 'Котельники,', 'Косино,', 'Юго-Восточная ,', 'Печатники,', 'Люблино,', 'Депо,', 'Перерва,', 'Косино,', 'Ухтомская,', 'Люберцы']","Выхино, Кузьминки, Марьино, Братиславская, Люблино, Волжская, Борисово, Алма-Атинская, Лермонтовский проспект, Жулебино, Котельники, Косино, Юго-Восточная , Печатники, Люблино, Депо, Перерва, Косино, Ухтомская, Люберцы,г Москва, ул Чагинская, д 6А стр 1",Москва,Работа на транспорте,Водитель,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/50041148/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по работе с ключевыми клиентами,от 150000 руб.,"['развитие клиентской базы', 'подготовка коммерческих предложений', 'планирование продаж', 'управление продажами', 'работа с ключевыми клиентами', 'b2b продажи']",[],Работа.ру,['Белорусская'],"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",Москва,,,от 3 лет,любое,https://www.rabota.ru/vacancy/48111305/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по партнерским продажам,от 150000 руб.,"['стрессоустойчивость', 'грамотная речь', 'клиентоориентированность', 'развитие клиентской базы', 'увеличение объемов продаж', 'продажи продукта / услуги', 'сопровождение клиентов', 'общение по телефону', 'деловая переписка']",['Вакансия недели'],Работа.ру,['Белорусская'],"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",Москва,Работа в торговле,Менеджер по продажам,опыт работы от 5 лет,образование любое,https://www.rabota.ru/vacancy/48020350/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Оператор колл-центра на входящую линию (удаленно),30000— 40000 руб.,"['ответственность', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'MS Office  Excel', 'MS Office Word', 'прием входящих звонков', 'работа с документами', 'обработка данных', 'высокая скорость печати', 'ввод данных', 'общение по телефону']",[],Первый виртуальный оператор,[],г Воронеж,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/48582426/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
"Главный эксперт по цифровым технологиям аудита (Data Engineer, Data Analyst)",по договоренности,[],[],СБЕР,[],"Центральный федеральный округ,Москва",Москва,Работа в сфере IT,Программист,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/54256998/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Руководитель направления по внедрению системы консолидации отчетности Группы (владелец продукта),по договоренности,[],[],СБЕР,[],"Центральный федеральный округ,Москва",Москва,Директор,Директор по продукту,опыт работы от 3 лет,образование любое,https://www.rabota.ru/vacancy/54256996/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Middle Java разработчик,по договоренности,[],[],СберСтрахование,[],"Центральный федеральный округ,Москва",Москва,Работа в сфере IT,Программист,опыт работы от 3 лет,образование любое,https://www.rabota.ru/vacancy/54256943/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Старший лаборант ОТК,65000 руб.,"['Подготовка отчетов', 'работа с оборудованием', 'проведение экспериментов', 'ведение лабораторного журнала', 'анализ образцов', 'соблюдение стандартов безопасности', 'Техническое обслуживание приборов']",[],"JCat, сервис размещения объявлений",['Бунинская аллея'],"Бунинская аллея,Москва",Москва,,,опыт работы от 1 года,образование среднее,https://www.rabota.ru/vacancy/54256594/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Управляющий магазином (м. Римская),до 154866 руб.,"['доброжелательность', 'кассовая дисциплина', 'приемка товара']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО","['Римская,', 'Площадь Ильича,', 'Москва Товарная']","Римская, Площадь Ильича, Москва Товарная,г Москва, ул Нижегородская, д 9Г, кв 1",Москва,Заведующий,Директор магазина,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/53920969/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Заместитель управляющего магазином (м. Римская),74841— 106274 руб.,"['стрессоустойчивость', 'доброжелательность', 'кассовая дисциплина', 'работа в торговом зале', 'работа с кассой', 'Работа в команде']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Римская'],"Римская,г Москва, ул Сергия Радонежского, д 2",Москва,Директор,Заместитель директора,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53827079/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
