,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
42,Заместитель управляющего магазином (м. Римская),74841— 106274 руб.,"['стрессоустойчивость', 'доброжелательность', 'кассовая дисциплина', 'работа в торговом зале', 'работа с кассой', 'Работа в команде']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Римская'],"Римская,г Москва, ул Сергия Радонежского, д 2",Москва,Директор,Заместитель директора,от 1 года,любое,https://www.rabota.ru/vacancy/53827079/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,74841,106274
43,Мастер маникюра-педикюра,90000— 150000 руб.,"['развитие клиентской базы', 'консультирование клиентов', 'Знание современных технологий', 'соблюдение санитарных норм', 'Выполнение маникюра и педикюра', 'Работа с профессиональными материалами', 'Создание дизайна ногтей']",Без тега,"JCat, сервис размещения объявлений",['Охотный ряд'],"Охотный ряд,Москва",Москва,Мастер ногтевого сервиса,,без опыта,среднее,https://www.rabota.ru/vacancy/54256961/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
44,Грузчик,45000— 55000 руб.,"['пунктуальность', 'трудолюбие', 'выносливость', 'погрузочно-разгрузочные работы', 'работа склада', 'разгрузочные работы', 'участие в проведении инвентаризаций', 'прием товара', 'отгрузка товара', 'распределение товара', 'комплектация товара', 'сортировка товара', 'сбор заказов', 'упаковка', 'упаковка товара', 'выгрузка товара', 'Разнорабочий', 'Грузчик']",Без тега,Трезвый грузчик,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54256626/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,55000
45,Монтажник грузопассажирского подъемника,от 130000 руб.,"['диагностика неисправностей', 'обслуживание оборудования', 'настройка оборудования', 'анализ дефектов', 'монтаж оборудования', 'диагностика оборудования', 'проведение пусконаладочных работ', 'Быстрая обучаемость', 'взаимодействие с клиентами', 'Внимание к деталям', 'взаимодействие с подразделениями', 'Чтение технической документации', 'Монтаж конструкций', 'Работа с ручным инструментом', 'Решение технических задач', 'установка оборудования', 'Работа с инструментами', 'Проведение технического обслуживания', 'Коммуникация с техническими специалистами', 'Выполнение служебных обязанностей', 'Взаимодействие с руководителями подразделений', 'проведение осмотров', 'Взаимодействие с партнерами', 'Контроль за состоянием оборудования', 'проведение монтажных работ', 'Соблюдение норм безопасности', 'Проверка качества монтажа', 'Проведение осмотра оборудования', 'Использование строительных инструментов', 'Выполнение высотных работ', 'Настройка и обслуживание оборудования', 'Чтение сборочной документации']",['Студентам'],"JCat, сервис размещения объявлений",['Деловой центр'],"Деловой центр,Москва, Краснопресненская набережная, 14",Москва,,,без опыта,среднее,https://www.rabota.ru/vacancy/54256596/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,
46,Су-шеф,105000— 115000 руб.,['ответственность'],Без тега,Тануки,"['Краснопресненская,', 'Баррикадная,', 'Улица 1905 года']","Краснопресненская, Баррикадная, Улица 1905 года,Россия, г. Москва, м. улица 1905 года/м. Краснопресненская, ул. Красная Пресня, д. 26с2",Москва,Работа в ресторанах,Повар,от 1 года,любое,https://www.rabota.ru/vacancy/54256295/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,105000,115000
47,Мастер ногтевого сервиса,90000— 240000 руб.,нет,Без тега,Jobers,['Новые Черемушки'],"Новые Черемушки,г Москва, Гарибальди, 36",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,от 3 лет,любое,https://www.rabota.ru/vacancy/54256221/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,240000
48,Заместитель управляющего магазином (м. Римская),74841— 106274 руб.,"['стрессоустойчивость', 'доброжелательность', 'кассовая дисциплина', 'работа в торговом зале', 'работа с кассой', 'Работа в команде']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Римская'],"Римская,г Москва, ул Нижегородская, д 9г, кв 1",Москва,Директор,Заместитель директора,от 1 года,любое,https://www.rabota.ru/vacancy/53827065/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,74841,106274
49,Машинист машины по чистке и смазке листов,50800— 66200 руб.,['ответственность'],['Студентам'],Кондитерско-булочный комбинат Черемушки,"['Молодежная,', 'Сетунь']","Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",Москва,Работа на производстве,Машинист производства,без опыта,любое,https://www.rabota.ru/vacancy/49023884/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50800,66200
50,Middle Data Science (Транзакционный банкинг B2C),по договоренности,нет,Без тега,СБЕР,,"Центральный федеральный округ,Москва",Москва,Работа в сфере IT,Программист,от 1 года,любое,https://www.rabota.ru/vacancy/54256667/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
51,Мастер маникюра,85000— 120000 руб.,нет,['Студентам'],Jobers,['Воронцовская'],"Воронцовская,г Москва, Обручева, 5",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,без опыта,любое,https://www.rabota.ru/vacancy/54256403/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,85000,120000
52,Бармен в рестоарн,100000— 120000 руб.,"['ответственность', 'активность']",Без тега,Тануки,"['Волоколамская,', 'Митино,', 'Пятницкое Шоссе']","Волоколамская, Митино, Пятницкое Шоссе,Россия, г. Москва, м.Пятницкое ш, Митинская, 50",Москва,Работа в ресторанах,Бармен,без опыта,любое,https://www.rabota.ru/vacancy/54256284/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
53,Помощник менеджера касс,69300— 76000 руб.,"['ответственность', 'обучаемость']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Ашан (сеть гипермаркетов),['Домодедовская'],"Домодедовская,г Москва, Каширское шоссе, д 61Г",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54256259/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,69300,76000
54,Специалист по работе с клиентами,от 80000 руб.,"['ответственность', 'пунктуальность', 'стрессоустойчивость', 'грамотная речь', 'общение с клиентами', 'ведение клиентской базы', 'ведение заказов', 'CRM-система', 'сопровождение сделки', 'продажи продукта / услуги', 'Работа в команде']",Без тега,"ООО ""Праввкус""",['Студенческая'],"Студенческая,г Москва, ул Можайский Вал, д 10",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/54255968/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
