Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Парикмахер-универсал,60000— 200000 руб.,"['диплом об окончании курсов парикмахеров', 'Работа с накладными волосами']","['Вакансия недели', 'Быстрый отклик']",Шевченко Татьяна Анатольевна,"['Петровский парк,', 'Петровский парк']","Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",Москва,Работа в сфере красоты,Парикмахер,от 3 лет,любое,https://www.rabota.ru/vacancy/54255960/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,200000
Ведущий научный сотрудник,от 150000 руб.,"['MS Office', 'MS Office  Excel', 'MS Office Word', 'бюджетирование', 'ведение деловой переписки', 'составление отчетов', 'анализ рынка', 'составление отчетности', 'планирование работ', 'управление проектами', 'написание статей', 'Статистика', 'Выполнение научно-исследовательской работы', 'Формирование отчетов о проделанной работы']",Без тега,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Бутырская'],"Бутырская,г Москва, ул Добролюбова, д 11",Москва,Работа в сфере образования,Научный сотрудник,от 1 года,высшее,https://www.rabota.ru/vacancy/54244351/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Медицинский писатель (Координационный центр федерального проекта),по договоренности,"['коммуникабельность', 'ведение переговоров', 'MS Office Word', 'английский язык']",Без тега,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Гражданская'],"Гражданская,г Москва, ул Вучетича, д 12",Москва,Работа в сфере культуры,Писатель,от 1 года,высшее,https://www.rabota.ru/vacancy/54223769/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Маляр на кузнечное производство,80000— 90000 руб.,"['малярные работы', 'покраска']",Без тега,"ООО ""СГ""",['Бутырская'],"Бутырская,г Москва, Огородный проезд, д 9",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53919291/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
Водитель-экспедитор категории C,120000— 140000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/53745521/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,140000
Водитель-экспедитор категории В,90000— 150000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/49683003/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
Главный инженер,80000— 100000 руб.,"['работа с технической документацией', 'техника безопасности', 'ведение объектов', 'противопожарная безопасность', 'технадзор', 'работа с подрядными организациями', 'контроль качества выполнения работ', 'эксплуатация инженерных систем']","['Вакансия недели', 'Пенсионерам']",Государственное бюджетное учреждение культуры города Москвы &amp;quot;Московский детский театр теней&amp;quot;,['Первомайская'],"Первомайская,г Москва, Измайловский б-р, д 60/10",Москва,Работа на производстве,,от 5 лет,высшее,https://www.rabota.ru/vacancy/49350180/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,100000
Повар-универсал,100000— 120000 руб.,нет,Без тега,ООО Мишлена,['Верхние котлы'],"Верхние котлы,г Москва, метро Верхние Котлы",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/36843243/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
Инженер-бактериолог,87000 руб.,"['ответственность', 'контроль качества', 'лабораторные работы', 'проведение лабораторных исследований', 'приготовление питательных сред']",Без тега,"АО ""Меридиан""",['Ховрино'],"Ховрино,г Москва, ул Ижорская, д 7",Москва,,,от 1 года,высшее,https://www.rabota.ru/vacancy/54239740/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,87000,
Кладовщик-грузчик,90000— 120000 руб.,"['распределение товара', 'комплектация товара']",Без тега,"РАВТ, ООО",['Саларьево'],"Саларьево,г Москва, р-н Коммунарка, ул Адмирала Корнилова, д 61",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/52529658/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,120000
Старший смены на пищевое производство,70000 руб.,['ответственность'],['Быстрый отклик'],"АО ""Меридиан""",['Ховрино'],"Ховрино,г Москва, ул Ижорская, д 7",Москва,,,без опыта,среднее,https://www.rabota.ru/vacancy/54239757/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Бухгалтер,110000— 120000 руб.,нет,"['Вакансия недели', 'Быстрый отклик']","ООО ""Калитера""","['Белорусская,', 'Белорусская,', 'Белорусская']","Белорусская, Белорусская, Белорусская,г Москва, Ленинградский пр-кт, д 7 стр 1",Москва,Работа в бухгалтерии,,от 3 лет,высшее,https://www.rabota.ru/vacancy/54253992/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,110000,120000
Главный бухгалтер,110000— 130000 руб.,"['налоговый учет', 'сдача отчетности', 'расчет заработной платы', 'УСНО', 'ОСНО', 'ведение всех участков', 'ведение книги покупок, книги продаж', 'ведение нескольких юридических лиц']",Без тега,"ООО ""Новые Горизонты""","['Чкаловская,', 'Курская,', 'Курская']","Чкаловская, Курская, Курская,г Москва, ул Нижняя Сыромятническая, д 11 стр 52",Москва,,,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/54245905/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,110000,130000
Охранник-контролер,от 90000 руб.,"['охрана объектов', 'видеонаблюдение', 'предотвращение хищений', 'охрана имущества']","['Вакансия недели', 'Пенсионерам', 'Студентам']","ООО ЧОО ""СБ Секьюрити""""",['Улица 1905 года'],"Улица 1905 года,г Москва",Москва,Работа в сфере безопасности,Охранник,без опыта,среднее,https://www.rabota.ru/vacancy/54233665/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
Водитель такси,120000— 150000 руб.,"['стаж вождения от 3 лет', 'перевозка пассажиров', 'спокойный стиль вождения']",Без тега,Unicum,['Отрадное'],"Отрадное,г Москва, ул Декабристов, д 27",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/48165167/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,150000
Водитель-экспедитор с личным автомобилем,от 100000 руб.,"['хорошее знание Москвы', 'правила дорожного движения', 'перевозка грузов', 'работа с сопроводительной документацией', 'экспедирование', 'спокойный стиль вождения', 'транспортная логистика']",['Вакансия недели'],"Бриго, ООО","['Щелковская,', 'Бульвар Рокоссовского,', 'Черкизовская,', 'Локомотив,', 'Бульвар Рокоссовского']","Щелковская, Бульвар Рокоссовского, Черкизовская, Локомотив, Бульвар Рокоссовского,г Москва, ул Монтажная, д 3 стр 1",Москва,Экспедитор,Водитель-экспедитор,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/32286416/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Машинист по стирке одежды,от 49000 руб.,нет,"['Быстрый отклик', 'Пенсионерам']","АО ""Меридиан""","['Ховрино,', 'Ховрино']","Ховрино, Ховрино,г Москва, ул Ижорская, д 7 стр 3",Москва,Работа на производстве,Машинист производства,без опыта,любое,https://www.rabota.ru/vacancy/54240032/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,49000,
Охранник (Москва),90000— 150000 руб.,['охрана объектов'],['Вакансия недели'],ООО Частное охранное предприятие ПРОФИ-Безопасность,['Выхино'],"Выхино,г Москва",Москва,Работа в сфере безопасности,Охранник,без опыта,любое,https://www.rabota.ru/vacancy/50270662/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
Работник кухни (Академика Опарина 4к1),74000— 81400 руб.,"['обучаемость', 'обучение персонала', 'Работа в команде']",['Вакансия недели'],Самокат,['Беляево'],"Беляево,г Москва, ул Академика Опарина, д 4 к 1",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54210839/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,74000,81400
Курьер/велокурьер (Самокат),110000— 210000 руб.,"['ответственность', 'доброжелательность', 'вежливость', 'доставка товаров', 'доставка заказов', 'курьер', 'Вежливый']",Без тега,Альфа персонал,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54250930/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,110000,210000
Кладовщик,от 70000 руб.,"['погрузочно-разгрузочные работы', 'прием товара', 'сбор заказов', 'упаковка товара', 'участие в проведение инвентаризаций', 'Водитель-экспедитор']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']",Comfer,['Бутырская'],"Бутырская,г Москва, Огородный проезд",Москва,Работа на складах,Кладовщик,от 1 года,любое,https://www.rabota.ru/vacancy/48027959/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Официант (Официантка),180000— 240000 руб.,"['умение работать в команде', 'доброжелательность', 'вежливость', 'общение с клиентами', 'прием заказов', 'обслуживание гостей', 'консультирование гостей', 'сервировка стола', 'дружелюбность', 'обслуживание банкетов', 'подача блюд и напитков согласно установленным правилам обслуживания', 'поддержание чистоты в зале']",Без тега,"ООО ""Верест""","['Китай-город,', 'Китай-город']","Китай-город, Китай-город,г Москва, метро Китай-город (Калужско-Рижская)",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54253219/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,180000,240000
Директор магазина (Кубинка 15к2),103600— 134680 руб.,"['ответственность', 'управление персоналом', 'обучение персонала']",['Вакансия недели'],Самокат,['Сетунь'],"Сетунь,г Москва, ул Кубинка, д 15 к 2",Москва,Заведующий,Директор магазина,без опыта,любое,https://www.rabota.ru/vacancy/54252897/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,103600,134680
Комплектовщик-упаковщик (вахта),139500— 224800 руб.,"['ответственность', 'стрессоустойчивость', 'обучаемость', 'работа склада', 'комплектация товара', 'сбор заказов', 'упаковка товара', 'сортировка продукции', 'укладка готовой продукции', 'работа с тсд', 'Я хочу работать']",Без тега,Pro Выбор,"['Комсомольская,', 'Комсомольская']","Комсомольская, Комсомольская,г Москва, метро Комсомольская (Сокольническая)",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54251168/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,139500,224800
Охранник (вахта),118000— 120000 руб.,"['охрана объектов', 'видеонаблюдение', 'охрана имущества', 'обеспечение контрольно-пропускного режима', 'Консьерж']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']","ООО ""ЧОП ""Москва""","['Проспект Вернадского,', 'Тропарево']","Проспект Вернадского, Тропарево,г Москва, пр-кт Вернадского, д 94",Москва,Работа в сфере безопасности,Охранник,без опыта,среднее,https://www.rabota.ru/vacancy/53395216/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,118000,120000
Администратор на ресепшн,130000— 138000 руб.,"['пунктуальность', 'обучаемость', 'вежливость', 'общение с клиентами', 'встреча гостей']","['Вакансия недели', 'Студентам']",ООО Бельведер,['Калужская'],"Калужская,г Москва, Научный проезд, д 14А стр 3, помещ 5/А",Москва,Администратор,Администратор пункта выдачи заказов,без опыта,любое,https://www.rabota.ru/vacancy/53119483/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,138000
Уборщик/Уборщица,до 70000 руб.,['уборка офиса'],"['Вакансия недели', 'Быстрый отклик', 'Пенсионерам']","Фасилити Солюшенс, ООО","['Калужская,', 'Воронцовская,', 'Зюзино']","Калужская, Воронцовская, Зюзино,г Москва, Научный проезд, д 17",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/34126047/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,70000
Охранник,60000— 150000 руб.,нет,['Вакансия недели'],"ЧОП ""Рубикон""","['Курская,', 'Курская,', 'Чкаловская']","Курская, Курская, Чкаловская,г Москва, ул Земляной Вал, д 33",Москва,Работа в сфере безопасности,Охранник,от 1 года,любое,https://www.rabota.ru/vacancy/48899987/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,150000
Водитель категории С,130000— 160000 руб.,нет,"['Вакансия недели', 'Быстрый отклик']","Евразия Карго Экспресс, ООО","['Выхино,', 'Кузьминки,', 'Марьино,', 'Братиславская,', 'Люблино,', 'Волжская,', 'Борисово,', 'Алма-Атинская,', 'Лермонтовский проспект,', 'Жулебино,', 'Котельники,', 'Косино,', 'Юго-Восточная ,', 'Печатники,', 'Люблино,', 'Депо,', 'Перерва,', 'Косино,', 'Ухтомская,', 'Люберцы']","Выхино, Кузьминки, Марьино, Братиславская, Люблино, Волжская, Борисово, Алма-Атинская, Лермонтовский проспект, Жулебино, Котельники, Косино, Юго-Восточная , Печатники, Люблино, Депо, Перерва, Косино, Ухтомская, Люберцы,г Москва, ул Чагинская, д 6А стр 1",Москва,Работа на транспорте,Водитель,от 1 года,любое,https://www.rabota.ru/vacancy/50041148/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,160000
Менеджер по работе с ключевыми клиентами,от 150000 руб.,"['развитие клиентской базы', 'подготовка коммерческих предложений', 'планирование продаж', 'управление продажами', 'работа с ключевыми клиентами', 'b2b продажи']",Без тега,Работа.ру,['Белорусская'],"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",Москва,,,от 3 лет,любое,https://www.rabota.ru/vacancy/48111305/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Менеджер по партнерским продажам,от 150000 руб.,"['стрессоустойчивость', 'грамотная речь', 'клиентоориентированность', 'развитие клиентской базы', 'увеличение объемов продаж', 'продажи продукта / услуги', 'сопровождение клиентов', 'общение по телефону', 'деловая переписка']",['Вакансия недели'],Работа.ру,['Белорусская'],"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",Москва,Работа в торговле,Менеджер по продажам,от 5 лет,любое,https://www.rabota.ru/vacancy/48020350/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Старший лаборант ОТК,65000 руб.,"['Подготовка отчетов', 'работа с оборудованием', 'проведение экспериментов', 'ведение лабораторного журнала', 'анализ образцов', 'соблюдение стандартов безопасности', 'Техническое обслуживание приборов']",Без тега,"JCat, сервис размещения объявлений",['Бунинская аллея'],"Бунинская аллея,Москва",Москва,,,от 1 года,среднее,https://www.rabota.ru/vacancy/54256594/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,
Управляющий магазином (м. Римская),до 154866 руб.,"['доброжелательность', 'кассовая дисциплина', 'приемка товара']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО","['Римская,', 'Площадь Ильича,', 'Москва Товарная']","Римская, Площадь Ильича, Москва Товарная,г Москва, ул Нижегородская, д 9Г, кв 1",Москва,Заведующий,Директор магазина,без опыта,любое,https://www.rabota.ru/vacancy/53920969/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,154866
Заместитель управляющего магазином (м. Римская),74841— 106274 руб.,"['стрессоустойчивость', 'доброжелательность', 'кассовая дисциплина', 'работа в торговом зале', 'работа с кассой', 'Работа в команде']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Римская'],"Римская,г Москва, ул Сергия Радонежского, д 2",Москва,Директор,Заместитель директора,от 1 года,любое,https://www.rabota.ru/vacancy/53827079/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,74841,106274
Мастер маникюра-педикюра,90000— 150000 руб.,"['развитие клиентской базы', 'консультирование клиентов', 'Знание современных технологий', 'соблюдение санитарных норм', 'Выполнение маникюра и педикюра', 'Работа с профессиональными материалами', 'Создание дизайна ногтей']",Без тега,"JCat, сервис размещения объявлений",['Охотный ряд'],"Охотный ряд,Москва",Москва,Мастер ногтевого сервиса,,без опыта,среднее,https://www.rabota.ru/vacancy/54256961/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
Грузчик,45000— 55000 руб.,"['пунктуальность', 'трудолюбие', 'выносливость', 'погрузочно-разгрузочные работы', 'работа склада', 'разгрузочные работы', 'участие в проведении инвентаризаций', 'прием товара', 'отгрузка товара', 'распределение товара', 'комплектация товара', 'сортировка товара', 'сбор заказов', 'упаковка', 'упаковка товара', 'выгрузка товара', 'Разнорабочий', 'Грузчик']",Без тега,Трезвый грузчик,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54256626/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,55000
Монтажник грузопассажирского подъемника,от 130000 руб.,"['диагностика неисправностей', 'обслуживание оборудования', 'настройка оборудования', 'анализ дефектов', 'монтаж оборудования', 'диагностика оборудования', 'проведение пусконаладочных работ', 'Быстрая обучаемость', 'взаимодействие с клиентами', 'Внимание к деталям', 'взаимодействие с подразделениями', 'Чтение технической документации', 'Монтаж конструкций', 'Работа с ручным инструментом', 'Решение технических задач', 'установка оборудования', 'Работа с инструментами', 'Проведение технического обслуживания', 'Коммуникация с техническими специалистами', 'Выполнение служебных обязанностей', 'Взаимодействие с руководителями подразделений', 'проведение осмотров', 'Взаимодействие с партнерами', 'Контроль за состоянием оборудования', 'проведение монтажных работ', 'Соблюдение норм безопасности', 'Проверка качества монтажа', 'Проведение осмотра оборудования', 'Использование строительных инструментов', 'Выполнение высотных работ', 'Настройка и обслуживание оборудования', 'Чтение сборочной документации']",['Студентам'],"JCat, сервис размещения объявлений",['Деловой центр'],"Деловой центр,Москва, Краснопресненская набережная, 14",Москва,,,без опыта,среднее,https://www.rabota.ru/vacancy/54256596/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,
Су-шеф,105000— 115000 руб.,['ответственность'],Без тега,Тануки,"['Краснопресненская,', 'Баррикадная,', 'Улица 1905 года']","Краснопресненская, Баррикадная, Улица 1905 года,Россия, г. Москва, м. улица 1905 года/м. Краснопресненская, ул. Красная Пресня, д. 26с2",Москва,Работа в ресторанах,Повар,от 1 года,любое,https://www.rabota.ru/vacancy/54256295/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,105000,115000
Мастер ногтевого сервиса,90000— 240000 руб.,нет,Без тега,Jobers,['Новые Черемушки'],"Новые Черемушки,г Москва, Гарибальди, 36",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,от 3 лет,любое,https://www.rabota.ru/vacancy/54256221/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,240000
Заместитель управляющего магазином (м. Римская),74841— 106274 руб.,"['стрессоустойчивость', 'доброжелательность', 'кассовая дисциплина', 'работа в торговом зале', 'работа с кассой', 'Работа в команде']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Римская'],"Римская,г Москва, ул Нижегородская, д 9г, кв 1",Москва,Директор,Заместитель директора,от 1 года,любое,https://www.rabota.ru/vacancy/53827065/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,74841,106274
Машинист машины по чистке и смазке листов,50800— 66200 руб.,['ответственность'],['Студентам'],Кондитерско-булочный комбинат Черемушки,"['Молодежная,', 'Сетунь']","Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",Москва,Работа на производстве,Машинист производства,без опыта,любое,https://www.rabota.ru/vacancy/49023884/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50800,66200
